"","Age","Cause","Period1","Period2","Sex","Country","Sources","e01","e02","Contribution","Cause.name","Country.name"
"1",0,2,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.0208642025230253,"Infectious","ARGENTINA"
"2",10,3,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.00347792403993979,"Neoplasms","ARGENTINA"
"3",30,4,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.016090069778629,"Circulatory","ARGENTINA"
"4",50,5,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,-0.0197122272753134,"Abnormal","ARGENTINA"
"5",70,6,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,-6.59769068684444e-06,"Mental","ARGENTINA"
"6",5,8,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,-0.000103285129240139,"Endocrine","ARGENTINA"
"7",25,9,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.00186750972814048,"Digestive","ARGENTINA"
"8",45,10,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.00175820369700733,"Genitourinary","ARGENTINA"
"9",65,11,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.000219469284740605,"Perinatal","ARGENTINA"
"10",1,13,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0.0173351464324684,"External","ARGENTINA"
"11",20,14,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,0,"Homicide","ARGENTINA"
"12",40,15,"1990-1995","1995-2000",1,2020,"CEPAL2004",69.3826264869932,70.4492975067975,-0.000229888057523294,"Rest","ARGENTINA"
"13",60,2,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.00581660854362549,"Infectious","ARGENTINA"
"14",75,3,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,0.00648510472158369,"Neoplasms","ARGENTINA"
"15",10,5,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.000260674518805158,"Abnormal","ARGENTINA"
"16",30,6,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,0.00221998385295766,"Mental","ARGENTINA"
"17",50,7,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.00222236261749193,"Nervous","ARGENTINA"
"18",70,8,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.00919093433023017,"Endocrine","ARGENTINA"
"19",5,10,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.000410142999415567,"Genitourinary","ARGENTINA"
"20",25,11,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.00017405814422262,"Perinatal","ARGENTINA"
"21",45,12,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.00625636874610924,"Respiratory","ARGENTINA"
"22",65,13,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,0.00260758300969601,"External","ARGENTINA"
"23",1,15,"1995-2000","2000-2005",1,2020,"CEPAL2004",70.4492975067975,71.4575875396108,-0.000247253138998852,"Rest","ARGENTINA"
